center_name,center_slug,country,boutique_name,category,is_open,has_deals,date_ouverture,date_fermeture,boutique_path
Val d'Europe,val-d-europe,France,ACUITIS,Autre,True,True,,,/boutiques-restaurants/acuitis
Val d'Europe,val-d-europe,France,Activate,Divertissement,False,False,,,/boutiques-restaurants/activate
Val d'Europe,val-d-europe,France,Axess,Mode,True,True,,,/boutiques-restaurants/axess
Val d'Europe,val-d-europe,France,Auchan,Supermarchés & Alimentaire,True,False,,,/boutiques-restaurants/auchan
Val d'Europe,val-d-europe,France,Aubade,Mode,True,True,,,/boutiques-restaurants/aubade
Val d'Europe,val-d-europe,France,Atol,Santé & Beauté,True,True,,,/boutiques-restaurants/atol
Val d'Europe,val-d-europe,France,Aroma-Zone,Santé & Beauté,True,False,,,/boutiques-restaurants/aroma-zone
Val d'Europe,val-d-europe,France,Armand Thiery Homme,Mode,True,False,,,/boutiques-restaurants/armand-thiery-homme
Val d'Europe,val-d-europe,France,Armand Thiery Femme,Mode,True,False,,,/boutiques-restaurants/armand-thiery-femme
Val d'Europe,val-d-europe,France,Aquarium Sea Life,Divertissement,True,True,,,/boutiques-restaurants/aquarium-sea-life
Val d'Europe,val-d-europe,France,Apple Store,"Culture, Loisirs & Cadeaux",True,False,,,/boutiques-restaurants/apple-store
Val d'Europe,val-d-europe,France,adidas,Mode,True,True,,,/boutiques-restaurants/adidas
Val d'Europe,val-d-europe,France,Balaboosté,Autre,True,True,,,/boutiques-restaurants/balabooste
Val d'Europe,val-d-europe,France,BRENDY'S CAFÉ,Restauration,True,True,,,/boutiques-restaurants/brendy-s-caf
Val d'Europe,val-d-europe,France,BEXLEY,Mode,True,False,,,/boutiques-restaurants/bexley
Val d'Europe,val-d-europe,France,Bonobo Jeans,Mode,True,True,,,/boutiques-restaurants/bonobo-jeans
Val d'Europe,val-d-europe,France,Brioche Dorée - Les terrasses,"Culture, Loisirs & Cadeaux",True,False,,,/boutiques-restaurants/brioche-doree-les-terrasses
Val d'Europe,val-d-europe,France,Brioche Dorée,"Culture, Loisirs & Cadeaux",True,False,,,/boutiques-restaurants/brioche-doree
Val d'Europe,val-d-europe,France,Big Fernand,Restauration,True,True,,,/boutiques-restaurants/big-fernand
Val d'Europe,val-d-europe,France,Baboo Tea,Restauration,True,False,,,/boutiques-restaurants/baboo-tea
Val d'Europe,val-d-europe,France,Bouygues Telecom,Services,True,False,,,/boutiques-restaurants/bouygues-telecom
